t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6
79.54302432552385,1.3992244605138992e+16,-0.03699933850194179,-1.166844606053808e-06,7571496728717595.0,-0.036998484255595064,-1.1581318586361445e-06
88.49732675807624,1.474784301096928e+16,-0.20977334134628325,-3.356706262102496e-07,7879574722651101.0,-0.20976848498435846,-3.330668219444079e-07
98.34705943388387,1.553579099650126e+16,-0.23557423351401532,8.011824731323348e-06,8191230912046679.0,-0.23556874629199157,7.951959192882249e-06
109.18176537727226,1.6358101978074792e+16,1.3112151656482125,1.7959229537688827e-06,8506336274295593.0,1.3111848650799582,1.7819122347417312e-06
121.09994191499949,1.7216894955792244e+16,6.010401770811839,-4.6346423733290934e-05,8824730949524288.0,6.010262306703738,-4.5999674590107236e-05
134.20993610649944,1.811440689351289e+16,7.112105234368135,1.258063167880591e-06,9146226936744524.0,7.111939026894876,1.2515189575009072e-06
148.6309297171494,1.9053005679604828e+16,-25.71949618313536,0.00024169958053402656,9470610801231232.0,-25.718901941093808,0.00023988831373200514
164.49402268886433,2.003520380496402e+16,-131.63636860546146,-9.4717982741666e-05,9797646425508930.0,-131.63330917972462,-9.4029256035869e-05
181.94342495775078,2.1063672882772616e+16,-226.6336746060526,-0.0010400873618597781,1.0127077820938196e+16,-226.62837826197864,-0.0010323408232656268
201.13776745352587,2.214125912589207e+16,161.41444336083745,-0.002432743451514052,1.0458632003969774e+16,161.41076743602602,-0.0024138636054613096
222.25154419887846,2.327099989163459e+16,1879.516956798313,-0.02995428734908869,1.0792021930135864e+16,1879.4732553422016,-0.029721959430761058
245.47669861876633,2.4456141399415772e+16,4768.524499527823,-0.050326051858784616,1.1126949469493052e+16,4768.413041640944,-0.04992915082939732
271.024368480643,2.5700157724226676e+16,4199.272806485093,0.8472937860413303,1.146310839946061e+16,4199.173405487657,0.8407920578639959
299.1268053287073,2.7006771168031644e+16,-11156.728832949751,5.401748932392833,1.180018738488364e+16,-11156.471000805184,5.359921443116881
330.03948586157804,2.8379974112275156e+16,-48678.74873400416,10.36346488399912,1.2137872910823976e+16,-48677.61127080059,10.281834812450645
364.0434344477359,2.9824052457861496e+16,-73209.85982586547,-25.022171618505435,1.2475852131147516e+16,-73208.13387519358,-24.833036097736812
401.44777789250946,3.134361076436273e+16,48283.30012178748,-178.95193827762068,1.28138155954669e+16,48282.20884648867,-177.55953978592794
442.5925556817604,3.294359920779761e+16,527317.2643012326,-220.09498524104222,1.3151459818300324e+16,527304.9487386948,-218.30394210154367
487.8518112499365,3.4629342485899136e+16,1368425.5535497607,1574.0552992668236,1.34884896572221e+16,1368393.3720853615,1562.0554682228762
537.6369923749302,3.6406570810946616e+16,1684566.2143101594,9418.117435287955,1.382462047099192e+16,1684526.1970969725,9344.667867368318
592.4006916124232,3.828145314244735e+16,-980348.8398424456,24165.290843173265,1.4159580033817242e+16,-980326.7930644704,23973.624850367883
652.6407607736655,4.026063282493048e+16,-9710060.465612328,17575.033114292877,1.4493110187669488e+16,-9709832.8013542,17426.27823887508
