t(s),Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Flux surface 1: solute,Average T volume 1
0.01577999922306268,8.057893617053737e+18,9.005283114714283e+16,8.339566769794636e+17,5.286183481988425e+18,2.6468297259236075e+20,673.0000000000006
0.016370667452216922,8.211361112508041e+18,9.162676363650587e+16,8.50717938747467e+17,5.389021482157049e+18,2.5980760754130846e+20,673.0000000000006
0.016862890976512123,8.337360589265678e+18,9.31564929967346e+16,8.66491512071011e+17,5.466330901640573e+18,2.5596837287286404e+20,673.0000000000006
0.017273077246758126,8.441093868317285e+18,9.448050218732269e+16,8.767463468532746e+17,5.53131951560538e+18,2.5288169583250096e+20,673.0000000000006
0.017765300771053327,8.56380962276485e+18,9.585899350404974e+16,8.864659184520188e+17,5.61465309879759e+18,2.4929796532479636e+20,673.0000000000006
0.01835596900020757,8.708655628467698e+18,9.73369241371931e+16,9.008029290657174e+17,5.713359574557672e+18,2.4521348873504984e+20,673.0000000000006
0.01884819252450277,8.827765769096076e+18,9.87078292939193e+16,9.162211438003332e+17,5.787552439082656e+18,2.4197387494310733e+20,673.0000000000006
0.019258378794748773,8.925955760121216e+18,9.997986378777469e+16,9.27659975209007e+17,5.846932251713901e+18,2.3936941361812157e+20,673.0000000000006
0.019750602319043974,9.042290728308151e+18,1.01380044379198e+17,9.373791048589164e+17,5.923418990233157e+18,2.363364828339059e+20,673.0000000000006
0.020341270548198218,9.179821876272344e+18,1.0281831003755016e+17,9.487697218033656e+17,6.018610507339149e+18,2.3283094528159924e+20,673.0000000000006
0.021050072423183307,9.342051938517879e+18,1.0454941964435525e+17,9.678013379076929e+17,6.124558731585317e+18,2.2887082513242155e+20,673.0000000000006
0.02164074065233755,9.475384759317553e+18,1.0620096294094286e+17,9.83216311682046e+17,6.206938945853565e+18,2.2572411066702512e+20,673.0000000000006
0.02213296417663275,9.585244453889372e+18,1.0752774625225098e+17,9.92809355950064e+17,6.278655911994352e+18,2.2318285478666338e+20,673.0000000000006
0.022723632405786995,9.715336304221698e+18,1.08912599855884e+17,1.0037222733842825e+18,6.368035234175812e+18,2.2023767458415372e+20,673.0000000000006
0.023432434280772085,9.869065497384034e+18,1.1055607660979997e+17,1.0216720686159251e+18,6.468450089632925e+18,2.1687882214246177e+20,673.0000000000006
0.024023102509926328,9.995586785664596e+18,1.121222848163161e+17,1.0370352860709317e+18,6.545906758072961e+18,2.1419338912762026e+20,673.0000000000006
0.02451532603422153,1.009995011814664e+19,1.1341325322037918e+17,1.046620755269565e+18,6.61290567111327e+18,2.1201758915362872e+20,673.0000000000006
0.025105994263375772,1.0223687873525137e+19,1.1476638862389192e+17,1.0564374503922121e+18,6.697709688803715e+18,2.094812582575584e+20,673.0000000000006
0.025814796138360862,1.0370105917482496e+19,1.1629661918149363e+17,1.0721099748032361e+18,6.795527380233298e+18,2.065649718254506e+20,673.0000000000006
0.026405464367515105,1.0490740207647652e+19,1.17742096958538e+17,1.0877811202931076e+18,6.86938690345735e+18,2.0422760981230826e+20,673.0000000000006
0.026897687891810306,1.0590337412506098e+19,1.1901124188412576e+17,1.0983521107911324e+18,6.931103879000521e+18,2.023356126645544e+20,673.0000000000006
0.02748835612096455,1.0708549434639514e+19,1.2037388109839088e+17,1.107649193828848e+18,7.010697417677677e+18,2.0012704670015426e+20,673.0000000000006
0.02819715799594964,1.0848590168657127e+19,1.2182822936847654e+17,1.1202066152944238e+18,7.106885657904524e+18,1.9756842837488275e+20,673.0000000000006
0.029047720245931746,1.1014155312420082e+19,1.2368242914884704e+17,1.140471063953683e+18,7.212287637704772e+18,1.9464858444131883e+20,673.0000000000006
0.029756522120916836,1.1150468107396491e+19,1.2535648103406904e+17,1.1547431161443028e+18,7.298306342283666e+18,1.923094039289649e+20,673.0000000000006
