parameters: E1[eV]/n1[atfr],  E2[eV]/n2[atfr],    E3[eV]/n3[atfr](only in 10 nm)
0.834/1.364e-03,  0.959/3.629e-04,  1.496/9.743e-02
Relative error with exp(%): 2.91
Temperature[K],    Des_flux[D2.m-2.s-1],   Des_flux[D.m-2.s-1]
449.600, 4.6661e+18,  9.3322e+18
450.400, 4.6567e+18,  9.3134e+18
451.200, 4.6464e+18,  9.2928e+18
452.000, 4.6356e+18,  9.2711e+18
452.800, 4.6237e+18,  9.2474e+18
453.600, 4.6116e+18,  9.2233e+18
454.400, 4.5967e+18,  9.1934e+18
455.200, 4.5837e+18,  9.1673e+18
456.000, 4.5677e+18,  9.1353e+18
456.800, 4.5536e+18,  9.1071e+18
457.600, 4.5366e+18,  9.0732e+18
458.400, 4.5218e+18,  9.0436e+18
459.200, 4.5049e+18,  9.0097e+18
460.000, 4.4884e+18,  8.9769e+18
460.800, 4.4717e+18,  8.9435e+18
461.600, 4.4545e+18,  8.9090e+18
462.400, 4.4369e+18,  8.8738e+18
463.200, 4.4189e+18,  8.8378e+18
464.000, 4.4000e+18,  8.8001e+18
464.800, 4.3817e+18,  8.7633e+18
465.600, 4.3628e+18,  8.7256e+18
466.400, 4.3422e+18,  8.6844e+18
467.200, 4.3235e+18,  8.6469e+18
468.000, 4.3042e+18,  8.6085e+18
468.800, 4.2848e+18,  8.5696e+18
469.600, 4.2652e+18,  8.5304e+18
470.400, 4.2451e+18,  8.4901e+18
471.200, 4.2245e+18,  8.4489e+18
472.000, 4.2049e+18,  8.4098e+18
472.800, 4.1852e+18,  8.3704e+18
473.600, 4.1653e+18,  8.3305e+18
474.400, 4.1435e+18,  8.2871e+18
475.200, 4.1240e+18,  8.2479e+18
476.000, 4.1043e+18,  8.2086e+18
476.800, 4.0836e+18,  8.1673e+18
477.600, 4.0641e+18,  8.1282e+18
478.400, 4.0444e+18,  8.0888e+18
479.200, 4.0246e+18,  8.0492e+18
480.000, 4.0051e+18,  8.0101e+18
480.800, 3.9847e+18,  7.9693e+18
481.600, 3.9653e+18,  7.9307e+18
482.400, 3.9459e+18,  7.8918e+18
483.200, 3.9266e+18,  7.8531e+18
484.000, 3.9073e+18,  7.8145e+18
484.800, 3.8880e+18,  7.7760e+18
485.600, 3.8677e+18,  7.7354e+18
486.400, 3.8474e+18,  7.6949e+18
487.200, 3.8289e+18,  7.6579e+18
488.000, 3.8103e+18,  7.6207e+18
488.800, 3.7906e+18,  7.5812e+18
489.600, 3.7707e+18,  7.5414e+18
490.400, 3.7516e+18,  7.5032e+18
491.200, 3.7321e+18,  7.4641e+18
492.000, 3.7129e+18,  7.4257e+18
492.800, 3.6937e+18,  7.3873e+18
493.600, 3.6759e+18,  7.3517e+18
494.400, 3.6567e+18,  7.3133e+18
495.200, 3.6381e+18,  7.2762e+18
496.000, 3.6192e+18,  7.2383e+18
496.800, 3.6009e+18,  7.2017e+18
497.600, 3.5821e+18,  7.1642e+18
498.400, 3.5645e+18,  7.1290e+18
499.200, 3.5468e+18,  7.0937e+18
500.000, 3.5288e+18,  7.0575e+18
500.800, 3.5116e+18,  7.0232e+18
501.600, 3.4943e+18,  6.9885e+18
502.400, 3.4770e+18,  6.9540e+18
503.200, 3.4596e+18,  6.9191e+18
504.000, 3.4424e+18,  6.8848e+18
504.800, 3.4252e+18,  6.8504e+18
505.600, 3.4080e+18,  6.8160e+18
506.400, 3.3909e+18,  6.7817e+18
507.200, 3.3738e+18,  6.7476e+18
508.000, 3.3568e+18,  6.7136e+18
508.800, 3.3398e+18,  6.6797e+18
509.600, 3.3230e+18,  6.6461e+18
510.400, 3.3062e+18,  6.6123e+18
511.200, 3.2896e+18,  6.5792e+18
512.000, 3.2731e+18,  6.5461e+18
512.800, 3.2552e+18,  6.5103e+18
513.600, 3.2392e+18,  6.4784e+18
514.400, 3.2228e+18,  6.4456e+18
515.200, 3.2069e+18,  6.4137e+18
516.000, 3.1897e+18,  6.3794e+18
516.800, 3.1740e+18,  6.3481e+18
517.600, 3.1581e+18,  6.3162e+18
518.400, 3.1428e+18,  6.2855e+18
519.200, 3.1278e+18,  6.2555e+18
520.000, 3.1126e+18,  6.2253e+18
520.800, 3.0979e+18,  6.1958e+18
521.600, 3.0830e+18,  6.1660e+18
522.400, 3.0690e+18,  6.1380e+18
523.200, 3.0550e+18,  6.1099e+18
524.000, 3.0411e+18,  6.0822e+18
524.800, 3.0275e+18,  6.0549e+18
525.600, 3.0141e+18,  6.0282e+18
526.400, 3.0012e+18,  6.0025e+18
527.200, 2.9883e+18,  5.9765e+18
528.000, 2.9766e+18,  5.9533e+18
528.800, 2.9642e+18,  5.9284e+18
529.600, 2.9531e+18,  5.9063e+18
530.400, 2.9424e+18,  5.8847e+18
531.200, 2.9320e+18,  5.8639e+18
532.000, 2.9222e+18,  5.8444e+18
532.800, 2.9128e+18,  5.8256e+18
533.600, 2.9040e+18,  5.8079e+18
534.400, 2.8956e+18,  5.7912e+18
535.200, 2.8877e+18,  5.7753e+18
536.000, 2.8805e+18,  5.7610e+18
536.800, 2.8737e+18,  5.7475e+18
537.600, 2.8677e+18,  5.7355e+18
538.400, 2.8622e+18,  5.7243e+18
539.200, 2.8573e+18,  5.7146e+18
540.000, 2.8530e+18,  5.7059e+18
540.800, 2.8493e+18,  5.6987e+18
541.600, 2.8462e+18,  5.6925e+18
542.400, 2.8439e+18,  5.6877e+18
543.200, 2.8420e+18,  5.6840e+18
544.000, 2.8408e+18,  5.6815e+18
544.800, 2.8399e+18,  5.6798e+18
545.600, 2.8391e+18,  5.6783e+18
546.400, 2.8390e+18,  5.6780e+18
547.200, 2.8404e+18,  5.6808e+18
548.000, 2.8421e+18,  5.6841e+18
548.800, 2.8442e+18,  5.6883e+18
549.600, 2.8470e+18,  5.6940e+18
550.400, 2.8509e+18,  5.7017e+18
551.200, 2.8548e+18,  5.7097e+18
552.000, 2.8597e+18,  5.7194e+18
552.800, 2.8649e+18,  5.7299e+18
553.600, 2.8706e+18,  5.7413e+18
554.400, 2.8766e+18,  5.7532e+18
555.200, 2.8828e+18,  5.7657e+18
556.000, 2.8895e+18,  5.7789e+18
556.800, 2.8972e+18,  5.7944e+18
557.600, 2.9048e+18,  5.8097e+18
558.400, 2.9133e+18,  5.8265e+18
559.200, 2.9220e+18,  5.8440e+18
560.000, 2.9311e+18,  5.8621e+18
560.800, 2.9404e+18,  5.8808e+18
561.600, 2.9500e+18,  5.8999e+18
562.400, 2.9597e+18,  5.9194e+18
563.200, 2.9696e+18,  5.9392e+18
564.000, 2.9796e+18,  5.9591e+18
564.800, 2.9899e+18,  5.9798e+18
565.600, 2.9998e+18,  5.9996e+18
566.400, 3.0103e+18,  6.0205e+18
567.200, 3.0206e+18,  6.0412e+18
568.000, 3.0309e+18,  6.0618e+18
568.800, 3.0412e+18,  6.0824e+18
569.600, 3.0513e+18,  6.1026e+18
570.400, 3.0615e+18,  6.1229e+18
571.200, 3.0712e+18,  6.1423e+18
572.000, 3.0812e+18,  6.1624e+18
572.800, 3.0910e+18,  6.1820e+18
573.600, 3.1006e+18,  6.2013e+18
574.400, 3.1101e+18,  6.2203e+18
575.200, 3.1194e+18,  6.2389e+18
576.000, 3.1285e+18,  6.2571e+18
576.800, 3.1375e+18,  6.2749e+18
577.600, 3.1462e+18,  6.2923e+18
578.400, 3.1546e+18,  6.3093e+18
579.200, 3.1629e+18,  6.3259e+18
580.000, 3.1710e+18,  6.3420e+18
580.800, 3.1789e+18,  6.3577e+18
581.600, 3.1865e+18,  6.3731e+18
582.400, 3.1940e+18,  6.3880e+18
583.200, 3.2013e+18,  6.4025e+18
